,HYDROGEL_PACK,VELVETFRUIT_EXTRACT,VEV_4000,VEV_4500,VEV_5000,VEV_5100,VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500
HYDROGEL_PACK,1.0,0.0059931897635495815,0.001778202196736413,0.001917679195481392,0.00544593868115147,0.0008208464208126132,0.0063748383564994375,0.004744228505546472,0.005182142223689373,6.84270442183753e-05,,
VELVETFRUIT_EXTRACT,0.0059931897635495815,1.0,0.5946598246234367,0.5976306211798811,0.7524290909930174,0.7626818307630472,0.7192605259670581,0.6123328674528112,0.5251652099854256,0.333841867354513,,
VEV_4000,0.001778202196736413,0.5946598246234367,1.0,0.9129358258866023,0.8175800883459761,0.7824939214937447,0.7157411824792718,0.578905273457792,0.4647897475942096,0.28351358208172006,,
VEV_4500,0.001917679195481392,0.5976306211798811,0.9129358258866023,1.0,0.8635917470646101,0.8366709017281528,0.7700838394283336,0.6335945682631151,0.5134088561688647,0.31667530871118665,,
VEV_5000,0.00544593868115147,0.7524290909930174,0.8175800883459761,0.8635917470646101,1.0,0.8982094752720635,0.8359707692220238,0.7041751777660894,0.5894887848615185,0.3685246655887976,,
VEV_5100,0.0008208464208126132,0.7626818307630472,0.7824939214937447,0.8366709017281528,0.8982094752720635,1.0,0.8338245653563596,0.7015024121329686,0.5895210433889636,0.36671214801834123,,
VEV_5200,0.0063748383564994375,0.7192605259670581,0.7157411824792718,0.7700838394283336,0.8359707692220238,0.8338245653563596,1.0,0.6580994364825571,0.5569049495876491,0.35448345200849213,,
VEV_5300,0.004744228505546472,0.6123328674528112,0.578905273457792,0.6335945682631151,0.7041751777660894,0.7015024121329686,0.6580994364825571,1.0,0.4661082811466015,0.3021610880159225,,
VEV_5400,0.005182142223689373,0.5251652099854256,0.4647897475942096,0.5134088561688647,0.5894887848615185,0.5895210433889636,0.5569049495876491,0.4661082811466015,1.0,0.27046897150093113,,
VEV_5500,6.84270442183753e-05,0.333841867354513,0.28351358208172006,0.31667530871118665,0.3685246655887976,0.36671214801834123,0.35448345200849213,0.3021610880159225,0.27046897150093113,1.0,,
VEV_6000,,,,,,,,,,,,
VEV_6500,,,,,,,,,,,,
