,day_0,day_1,day_2,mean
HYDROGEL_PACK,2.193180993511437,2.1501435090006225,2.1722469384206486,2.1718571469775694
VELVETFRUIT_EXTRACT,2.135760418200942,2.162236899459097,2.1656770986586107,2.154558138772883
VEV_4000,11.2452023506098,11.502208630910243,11.263468324608096,11.336959768709379
VEV_4500,16.626812826625223,16.94020564139829,16.548132916041006,16.70505046135484
VEV_5000,38.25911860470749,38.99157983370164,38.580488905546076,38.6103957813184
VEV_5100,49.40527082975969,51.90732558424471,53.229313772023524,51.5139700620093
VEV_5200,69.7845829602376,72.42574228396596,74.4388170399614,72.21638076138832
VEV_5300,102.14921192050453,108.12432856634857,115.08883103107941,108.45412383931084
VEV_5400,151.93833047177287,176.53035886947634,200.00736467014266,176.15868467046394
VEV_5500,238.5792373253446,276.36486711358043,333.6505682624065,282.86489090044387
VEV_6000,0.0,0.0,0.0,0.0
VEV_6500,0.0,0.0,0.0,0.0
